Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,2024-10-22T23:40:00Z,TD Garden,Boston Celtics,New York Knicks,132 - 109
2,1,2024-10-23T02:10:00Z,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,110 - 103
3,1,2024-10-23T23:10:00Z,Little Caesars Arena,Detroit Pistons,Indiana Pacers,109 - 115
4,1,2024-10-23T23:40:00Z,State Farm Arena,Atlanta Hawks,Brooklyn Nets,120 - 116
5,1,2024-10-23T23:40:00Z,Kaseya Center,Miami Heat,Orlando Magic,97 - 116
6,1,2024-10-23T23:40:00Z,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,109 - 124
7,1,2024-10-23T23:40:00Z,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,106 - 136
8,1,2024-10-24T00:10:00Z,Toyota Center,Houston Rockets,Charlotte Hornets,105 - 110
9,1,2024-10-24T00:10:00Z,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,123 - 111
10,1,2024-10-24T01:10:00Z,Delta Center,Utah Jazz,Memphis Grizzlies,124 - 126
11,1,2024-10-24T02:10:00Z,Intuit Dome,Los Angeles Clippers,Phoenix Suns,113 - 116
12,1,2024-10-24T02:10:00Z,Moda Center,Portland Trail Blazers,Golden State Warriors,104 - 140
13,1,2024-10-24T23:10:00Z,Capital One Arena,Washington Wizards,Boston Celtics,102 - 122
14,1,2024-10-24T23:40:00Z,American Airlines Center,Dallas Mavericks,San Antonio Spurs,120 - 109
15,1,2024-10-25T02:10:00Z,Ball Arena,Denver Nuggets,Oklahoma City Thunder,87 - 102
16,1,2024-10-25T02:10:00Z,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,115 - 117
17,1,2024-10-25T23:10:00Z,Kia Center,Orlando Magic,Brooklyn Nets,116 - 101
18,1,2024-10-25T23:10:00Z,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,115 - 107
19,1,2024-10-25T23:40:00Z,State Farm Arena,Atlanta Hawks,Charlotte Hornets,125 - 120
20,1,2024-10-25T23:40:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,113 - 101
21,1,2024-10-25T23:40:00Z,Madison Square Garden,New York Knicks,Indiana Pacers,123 - 98
22,1,2024-10-26T00:10:00Z,Toyota Center,Houston Rockets,Memphis Grizzlies,128 - 108
23,1,2024-10-26T00:10:00Z,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,122 - 133
24,1,2024-10-26T01:40:00Z,Delta Center,Utah Jazz,Golden State Warriors,86 - 127
25,1,2024-10-26T02:10:00Z,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,123 - 116
26,1,2024-10-26T02:10:00Z,Moda Center,Portland Trail Blazers,New Orleans Pelicans,103 - 105
27,1,2024-10-26T21:10:00Z,Ball Arena,Denver Nuggets,Los Angeles Clippers,104 - 109
28,1,2024-10-26T23:10:00Z,Spectrum Center,Charlotte Hornets,Miami Heat,106 - 114
29,1,2024-10-26T23:10:00Z,Little Caesars Arena,Detroit Pistons,Boston Celtics,118 - 124
30,1,2024-10-26T23:10:00Z,Capital One Arena,Washington Wizards,Cleveland Cavaliers,116 - 135
31,1,2024-10-27T00:10:00Z,United Center,Chicago Bulls,Oklahoma City Thunder,95 - 114
32,1,2024-10-27T00:10:00Z,FedExForum,Memphis Grizzlies,Orlando Magic,124 - 111
33,1,2024-10-27T00:10:00Z,Target Center,Minnesota Timberwolves,Toronto Raptors,112 - 101
34,1,2024-10-27T00:40:00Z,Frost Bank Center,San Antonio Spurs,Houston Rockets,109 - 106
35,1,2024-10-27T02:10:00Z,Footprint Center,Phoenix Suns,Dallas Mavericks,114 - 102
36,1,2024-10-27T02:40:00Z,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,131 - 127
37,1,2024-10-27T19:40:00Z,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,114 - 118
38,1,2024-10-27T22:10:00Z,Barclays Center,Brooklyn Nets,Milwaukee Bucks,115 - 102
39,1,2024-10-27T22:10:00Z,Moda Center,Portland Trail Blazers,New Orleans Pelicans,125 - 103
40,1,2024-10-27T23:10:00Z,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,128 - 104
41,1,2024-10-28T00:40:00Z,Chase Center,Golden State Warriors,Los Angeles Clippers,104 - 112
42,1,2024-10-28T23:10:00Z,Kia Center,Orlando Magic,Indiana Pacers,119 - 115
43,1,2024-10-28T23:40:00Z,State Farm Arena,Atlanta Hawks,Washington Wizards,119 - 121
44,1,2024-10-28T23:40:00Z,TD Garden,Boston Celtics,Milwaukee Bucks,119 - 108
45,1,2024-10-28T23:40:00Z,Kaseya Center,Miami Heat,Detroit Pistons,106 - 98
46,1,2024-10-28T23:40:00Z,Madison Square Garden,New York Knicks,Cleveland Cavaliers,104 - 110
47,1,2024-10-28T23:40:00Z,Scotiabank Arena,Toronto Raptors,Denver Nuggets,125 - 127
48,1,2024-10-29T00:10:00Z,FedExForum,Memphis Grizzlies,Chicago Bulls,123 - 126
49,1,2024-10-29T00:10:00Z,Frost Bank Center,San Antonio Spurs,Houston Rockets,101 - 106
50,1,2024-10-29T00:40:00Z,American Airlines Center,Dallas Mavericks,Utah Jazz,110 - 102
51,1,2024-10-29T02:10:00Z,Footprint Center,Phoenix Suns,Los Angeles Lakers,109 - 105
52,1,2024-10-29T02:10:00Z,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,111 - 98
53,1,2024-10-29T23:40:00Z,Barclays Center,Brooklyn Nets,Denver Nuggets,139 - 144
54,1,2024-10-29T23:40:00Z,Target Center,Minnesota Timberwolves,Dallas Mavericks,114 - 120
55,1,2024-10-30T01:10:00Z,Delta Center,Utah Jazz,Sacramento Kings,96 - 113
56,1,2024-10-30T02:10:00Z,Chase Center,Golden State Warriors,New Orleans Pelicans,124 - 106
57,2,2024-10-30T23:10:00Z,Spectrum Center,Charlotte Hornets,Toronto Raptors,138 - 133
58,2,2024-10-30T23:10:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,134 - 110
59,2,2024-10-30T23:10:00Z,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,135 - 132
60,2,2024-10-30T23:10:00Z,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,95 - 105
61,2,2024-10-30T23:10:00Z,Capital One Arena,Washington Wizards,Atlanta Hawks,133 - 120
62,2,2024-10-30T23:40:00Z,Kaseya Center,Miami Heat,New York Knicks,107 - 116
63,2,2024-10-31T00:10:00Z,United Center,Chicago Bulls,Orlando Magic,102 - 99
64,2,2024-10-31T00:10:00Z,FedExForum,Memphis Grizzlies,Brooklyn Nets,106 - 119
65,2,2024-10-31T01:40:00Z,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,105 - 93
66,2,2024-10-31T02:10:00Z,Chase Center,Golden State Warriors,New Orleans Pelicans,104 - 89
67,2,2024-10-31T02:40:00Z,Intuit Dome,Los Angeles Clippers,Portland Trail Blazers,105 - 106
68,2,2024-11-01T00:10:00Z,FedExForum,Memphis Grizzlies,Milwaukee Bucks,122 - 99
69,2,2024-11-01T00:40:00Z,American Airlines Center,Dallas Mavericks,Houston Rockets,102 - 108
70,2,2024-11-01T01:10:00Z,Delta Center,Utah Jazz,San Antonio Spurs,88 - 106
71,2,2024-11-01T02:40:00Z,Intuit Dome,Los Angeles Clippers,Phoenix Suns,119 - 125
72,2,2024-11-01T23:10:00Z,Spectrum Center,Charlotte Hornets,Boston Celtics,109 - 124
73,2,2024-11-01T23:10:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,120 - 109
74,2,2024-11-01T23:10:00Z,Little Caesars Arena,Detroit Pistons,New York Knicks,98 - 128
75,2,2024-11-01T23:40:00Z,State Farm Arena,Atlanta Hawks,Sacramento Kings,115 - 123
76,2,2024-11-01T23:40:00Z,Barclays Center,Brooklyn Nets,Chicago Bulls,120 - 112
77,2,2024-11-01T23:40:00Z,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,125 - 131
78,2,2024-11-02T00:10:00Z,Smoothie King Center,New Orleans Pelicans,Indiana Pacers,125 - 118
79,2,2024-11-02T01:40:00Z,Target Center,Minnesota Timberwolves,Denver Nuggets,119 - 116
80,2,2024-11-02T02:10:00Z,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,114 - 137
81,2,2024-11-02T22:10:00Z,Spectrum Center,Charlotte Hornets,Boston Celtics,103 - 113
82,2,2024-11-02T23:40:00Z,Wells Fargo Center,Philadelphia 76ers,Memphis Grizzlies,104 - 124
83,2,2024-11-02T23:40:00Z,Scotiabank Arena,Toronto Raptors,Sacramento Kings,131 - 128
84,2,2024-11-03T00:10:00Z,Toyota Center,Houston Rockets,Golden State Warriors,121 - 127
85,2,2024-11-03T00:10:00Z,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,113 - 114
86,2,2024-11-03T00:10:00Z,Frost Bank Center,San Antonio Spurs,Minnesota Timberwolves,113 - 103
87,2,2024-11-03T01:40:00Z,Arena CDMX,Washington Wizards,Miami Heat,98 - 118
88,2,2024-11-03T02:10:00Z,Ball Arena,Denver Nuggets,Utah Jazz,129 - 103
89,2,2024-11-03T02:10:00Z,Footprint Center,Phoenix Suns,Portland Trail Blazers,103 - 97
90,2,2024-11-03T02:40:00Z,Intuit Dome,Los Angeles Clippers,Oklahoma City Thunder,92 - 105
91,2,2024-11-03T20:40:00Z,Barclays Center,Brooklyn Nets,Detroit Pistons,92 - 106
92,2,2024-11-04T00:10:00Z,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,111 - 126
93,2,2024-11-04T00:40:00Z,American Airlines Center,Dallas Mavericks,Orlando Magic,108 - 85
94,2,2024-11-05T00:10:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,116 - 114
95,2,2024-11-05T00:25:00Z,Capital One Arena,Washington Wizards,Golden State Warriors,112 - 125
96,2,2024-11-05T00:40:00Z,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,115 - 103
97,2,2024-11-05T00:55:00Z,State Farm Arena,Atlanta Hawks,Boston Celtics,93 - 123
98,2,2024-11-05T01:10:00Z,Barclays Center,Brooklyn Nets,Memphis Grizzlies,106 - 104
99,2,2024-11-05T01:25:00Z,Kaseya Center,Miami Heat,Sacramento Kings,110 - 111
100,2,2024-11-05T01:40:00Z,United Center,Chicago Bulls,Utah Jazz,126 - 135
101,2,2024-11-05T01:55:00Z,Toyota Center,Houston Rockets,New York Knicks,109 - 97
102,2,2024-11-05T02:10:00Z,Target Center,Minnesota Timberwolves,Charlotte Hornets,114 - 93
103,2,2024-11-05T02:25:00Z,Paycom Center,Oklahoma City Thunder,Orlando Magic,102 - 86
104,2,2024-11-05T02:40:00Z,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,100 - 118
105,2,2024-11-05T02:55:00Z,American Airlines Center,Dallas Mavericks,Indiana Pacers,127 - 134
106,2,2024-11-05T03:10:00Z,Ball Arena,Denver Nuggets,Toronto Raptors,121 - 119
107,2,2024-11-05T03:25:00Z,Footprint Center,Phoenix Suns,Philadelphia 76ers,118 - 116
108,2,2024-11-05T03:40:00Z,Intuit Dome,Los Angeles Clippers,San Antonio Spurs,113 - 104
109,3,2024-11-07T00:10:00Z,Spectrum Center,Charlotte Hornets,Detroit Pistons,108 - 107
110,3,2024-11-07T00:10:00Z,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,118 - 111
111,3,2024-11-07T00:40:00Z,State Farm Arena,Atlanta Hawks,New York Knicks,121 - 116
112,3,2024-11-07T00:40:00Z,TD Garden,Boston Celtics,Golden State Warriors,112 - 118
113,3,2024-11-07T01:10:00Z,Toyota Center,Houston Rockets,San Antonio Spurs,127 - 100
114,3,2024-11-07T01:10:00Z,FedExForum,Memphis Grizzlies,Los Angeles Lakers,131 - 114
115,3,2024-11-07T01:10:00Z,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,122 - 131
116,3,2024-11-07T01:40:00Z,American Airlines Center,Dallas Mavericks,Chicago Bulls,119 - 99
117,3,2024-11-07T02:10:00Z,Ball Arena,Denver Nuggets,Oklahoma City Thunder,124 - 122
118,3,2024-11-07T02:10:00Z,Footprint Center,Phoenix Suns,Miami Heat,115 - 112
119,3,2024-11-07T03:10:00Z,Intuit Dome,Los Angeles Clippers,Philadelphia 76ers,110 - 98
120,3,2024-11-07T03:10:00Z,Golden 1 Center,Sacramento Kings,Toronto Raptors,122 - 107
121,3,2024-11-08T01:10:00Z,United Center,Chicago Bulls,Minnesota Timberwolves,119 - 135
122,3,2024-11-08T01:10:00Z,Fiserv Forum,Milwaukee Bucks,Utah Jazz,123 - 100
123,3,2024-11-08T01:10:00Z,Frost Bank Center,San Antonio Spurs,Portland Trail Blazers,118 - 105
124,3,2024-11-09T00:10:00Z,Spectrum Center,Charlotte Hornets,Indiana Pacers,103 - 83
125,3,2024-11-09T00:10:00Z,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,122 - 121
126,3,2024-11-09T00:10:00Z,Kia Center,Orlando Magic,New Orleans Pelicans,115 - 88
127,3,2024-11-09T00:40:00Z,TD Garden,Boston Celtics,Brooklyn Nets,108 - 104
128,3,2024-11-09T00:40:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Golden State Warriors,136 - 117
129,3,2024-11-09T00:40:00Z,Madison Square Garden,New York Knicks,Milwaukee Bucks,116 - 94
130,3,2024-11-09T00:40:00Z,American Airlines Center,Dallas Mavericks,Phoenix Suns,113 - 114
131,3,2024-11-09T01:10:00Z,FedExForum,Memphis Grizzlies,Washington Wizards,128 - 104
132,3,2024-11-09T01:10:00Z,Paycom Center,Oklahoma City Thunder,Houston Rockets,126 - 107
133,3,2024-11-09T02:10:00Z,Target Center,Minnesota Timberwolves,Portland Trail Blazers,127 - 102
134,3,2024-11-09T02:10:00Z,Ball Arena,Denver Nuggets,Miami Heat,135 - 122
135,3,2024-11-09T03:10:00Z,Crypto.com Arena,Los Angeles Lakers,Philadelphia 76ers,116 - 106
136,3,2024-11-09T03:10:00Z,Golden 1 Center,Sacramento Kings,Los Angeles Clippers,98 - 107
137,3,2024-11-09T22:10:00Z,Frost Bank Center,San Antonio Spurs,Utah Jazz,110 - 111
138,3,2024-11-10T00:40:00Z,State Farm Arena,Atlanta Hawks,Chicago Bulls,113 - 125
139,3,2024-11-10T00:40:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,105 - 100
140,3,2024-11-10T03:40:00Z,Intuit Dome,Los Angeles Clippers,Toronto Raptors,105 - 103
141,3,2024-11-10T20:10:00Z,Little Caesars Arena,Detroit Pistons,Houston Rockets,99 - 101
142,3,2024-11-10T20:40:00Z,Fiserv Forum,Milwaukee Bucks,Boston Celtics,107 - 113
143,3,2024-11-10T22:10:00Z,Gainbridge Fieldhouse,Indiana Pacers,New York Knicks,132 - 121
144,3,2024-11-10T23:10:00Z,Kia Center,Orlando Magic,Washington Wizards,121 - 94
145,3,2024-11-11T00:10:00Z,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,107 - 105
146,3,2024-11-11T00:10:00Z,Target Center,Minnesota Timberwolves,Miami Heat,94 - 95
147,3,2024-11-11T00:10:00Z,Paycom Center,Oklahoma City Thunder,Golden State Warriors,116 - 127
148,3,2024-11-11T01:10:00Z,Ball Arena,Denver Nuggets,Dallas Mavericks,122 - 120
149,3,2024-11-11T01:10:00Z,Footprint Center,Phoenix Suns,Sacramento Kings,118 - 127
150,3,2024-11-11T02:10:00Z,Moda Center,Portland Trail Blazers,Memphis Grizzlies,89 - 134
151,3,2024-11-11T02:40:00Z,Crypto.com Arena,Los Angeles Lakers,Toronto Raptors,123 - 103
152,3,2024-11-12T01:10:00Z,United Center,Chicago Bulls,Cleveland Cavaliers,113 - 119
153,3,2024-11-12T01:10:00Z,Toyota Center,Houston Rockets,Washington Wizards,107 - 92
154,3,2024-11-12T01:10:00Z,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,105 - 107
155,3,2024-11-12T01:10:00Z,Paycom Center,Oklahoma City Thunder,Los Angeles Clippers,134 - 128
156,3,2024-11-12T01:10:00Z,Frost Bank Center,San Antonio Spurs,Sacramento Kings,116 - 96
157,3,2024-11-13T00:10:00Z,TD Garden,Boston Celtics,Atlanta Hawks,116 - 117
158,3,2024-11-13T00:10:00Z,Little Caesars Arena,Detroit Pistons,Miami Heat,123 - 121
159,3,2024-11-13T00:10:00Z,Kia Center,Orlando Magic,Charlotte Hornets,114 - 89
160,3,2024-11-13T00:40:00Z,Wells Fargo Center,Philadelphia 76ers,New York Knicks,99 - 111
161,3,2024-11-13T01:10:00Z,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,99 - 85
162,3,2024-11-13T02:10:00Z,Delta Center,Utah Jazz,Phoenix Suns,112 - 120
163,3,2024-11-13T03:10:00Z,Chase Center,Golden State Warriors,Dallas Mavericks,120 - 117
164,3,2024-11-13T03:10:00Z,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,122 - 108
165,4,2024-11-14T00:10:00Z,Kia Center,Orlando Magic,Indiana Pacers,94 - 90
166,4,2024-11-14T00:40:00Z,Barclays Center,Brooklyn Nets,Boston Celtics,114 - 139
167,4,2024-11-14T00:40:00Z,Madison Square Garden,New York Knicks,Chicago Bulls,123 - 124
168,4,2024-11-14T00:40:00Z,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,106 - 114
169,4,2024-11-14T00:40:00Z,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,106 - 88
170,4,2024-11-14T01:10:00Z,Toyota Center,Houston Rockets,Los Angeles Clippers,111 - 103
171,4,2024-11-14T01:10:00Z,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,127 - 120
172,4,2024-11-14T01:10:00Z,Frost Bank Center,San Antonio Spurs,Washington Wizards,139 - 130
173,4,2024-11-14T03:10:00Z,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,128 - 123
174,4,2024-11-14T03:10:00Z,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,106 - 98
175,4,2024-11-14T03:10:00Z,Golden 1 Center,Sacramento Kings,Phoenix Suns,127 - 104
176,4,2024-11-15T02:10:00Z,Delta Center,Utah Jazz,Dallas Mavericks,115 - 113
177,4,2024-11-16T00:10:00Z,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,111 - 124
178,4,2024-11-16T00:10:00Z,Kia Center,Orlando Magic,Philadelphia 76ers,98 - 86
179,4,2024-11-16T00:10:00Z,Scotiabank Arena,Toronto Raptors,Detroit Pistons,95 - 99
180,4,2024-11-16T00:40:00Z,State Farm Arena,Atlanta Hawks,Washington Wizards,129 - 117
181,4,2024-11-16T00:40:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,144 - 126
182,4,2024-11-16T00:40:00Z,Madison Square Garden,New York Knicks,Brooklyn Nets,124 - 122
183,4,2024-11-16T00:40:00Z,Frost Bank Center,San Antonio Spurs,Los Angeles Lakers,115 - 120
184,4,2024-11-16T01:10:00Z,Toyota Center,Houston Rockets,Los Angeles Clippers,125 - 104
185,4,2024-11-16T01:10:00Z,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,101 - 94
186,4,2024-11-16T01:10:00Z,Paycom Center,Oklahoma City Thunder,Phoenix Suns,99 - 83
187,4,2024-11-16T03:10:00Z,Chase Center,Golden State Warriors,Memphis Grizzlies,123 - 118
188,4,2024-11-16T03:10:00Z,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,126 - 130
189,4,2024-11-16T20:10:00Z,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,115 - 114
190,4,2024-11-17T01:10:00Z,TD Garden,Boston Celtics,Toronto Raptors,126 - 123
191,4,2024-11-17T01:10:00Z,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,99 - 104
192,4,2024-11-17T01:40:00Z,American Airlines Center,Dallas Mavericks,San Antonio Spurs,110 - 93
193,4,2024-11-17T03:10:00Z,Golden 1 Center,Sacramento Kings,Utah Jazz,121 - 117
194,4,2024-11-17T20:40:00Z,Target Center,Minnesota Timberwolves,Phoenix Suns,120 - 117
195,4,2024-11-17T22:10:00Z,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,119 - 110
196,4,2024-11-17T23:10:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,128 - 114
197,4,2024-11-17T23:10:00Z,Capital One Arena,Washington Wizards,Detroit Pistons,104 - 124
198,4,2024-11-17T23:10:00Z,FedExForum,Memphis Grizzlies,Denver Nuggets,105 - 90
199,4,2024-11-17T23:10:00Z,Moda Center,Portland Trail Blazers,Atlanta Hawks,114 - 110
200,4,2024-11-18T00:10:00Z,Madison Square Garden,New York Knicks,Brooklyn Nets,114 - 104
201,4,2024-11-18T00:10:00Z,United Center,Chicago Bulls,Houston Rockets,107 - 143
202,4,2024-11-18T00:10:00Z,Paycom Center,Oklahoma City Thunder,Dallas Mavericks,119 - 121
203,4,2024-11-18T02:10:00Z,Intuit Dome,Los Angeles Clippers,Utah Jazz,116 - 105
204,4,2024-11-19T00:10:00Z,Little Caesars Arena,Detroit Pistons,Chicago Bulls,112 - 122
205,4,2024-11-19T00:40:00Z,Kaseya Center,Miami Heat,Philadelphia 76ers,106 - 89
206,4,2024-11-19T00:40:00Z,Madison Square Garden,New York Knicks,Washington Wizards,134 - 106
207,4,2024-11-19T00:40:00Z,Scotiabank Arena,Toronto Raptors,Indiana Pacers,130 - 119
208,4,2024-11-19T01:10:00Z,Fiserv Forum,Milwaukee Bucks,Houston Rockets,101 - 100
209,4,2024-11-19T02:10:00Z,Footprint Center,Phoenix Suns,Orlando Magic,99 - 109
210,4,2024-11-19T03:10:00Z,Golden 1 Center,Sacramento Kings,Atlanta Hawks,108 - 109
211,4,2024-11-19T03:40:00Z,Intuit Dome,Los Angeles Clippers,Golden State Warriors,102 - 99
212,4,2024-11-20T00:10:00Z,TD Garden,Boston Celtics,Cleveland Cavaliers,120 - 117
213,4,2024-11-20T00:40:00Z,Barclays Center,Brooklyn Nets,Charlotte Hornets,116 - 115
214,4,2024-11-20T01:10:00Z,FedExForum,Memphis Grizzlies,Denver Nuggets,110 - 122
215,4,2024-11-20T01:40:00Z,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,132 - 91
216,4,2024-11-20T02:40:00Z,Frost Bank Center,San Antonio Spurs,Oklahoma City Thunder,110 - 104
217,4,2024-11-20T03:40:00Z,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,124 - 118
218,5,2024-11-21T00:40:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New Orleans Pelicans,128 - 100
219,5,2024-11-21T00:40:00Z,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,122 - 106
220,5,2024-11-21T01:10:00Z,Toyota Center,Houston Rockets,Indiana Pacers,130 - 113
221,5,2024-11-21T01:10:00Z,FedExForum,Memphis Grizzlies,Philadelphia 76ers,117 - 111
222,5,2024-11-21T01:10:00Z,Paycom Center,Oklahoma City Thunder,Portland Trail Blazers,109 - 99
